HomeScreen_TapToPlayButtonText,TAP TO PLAY!
HomeScreen_RaceEventButtonText,RACE EVENTS
HomeScreen_GarageButtonText,GARAGE
HomeScreen_GearButtonText,GEAR
HomeScreen_VideoConfirmationPopup_Heading,FREE STUFF!
HomeScreen_VideoConfirmationPopup_Caption,Watch a short video for a reward?
HomeScreen_VideoConfirmationPopup_YesButton,Yes
HomeScreen_VideoConfirmationPopup_NoButton,No
HomeScreen_VideoConfirmationPopup_MysteryBox_Common,COMMON MYSTERY BOX
HomeScreen_VideoConfirmationPopup_MysteryBox_Epic,EPIC MYSTERY BOX
HomeScreen_VideoConfirmationPopup_MysteryBox_Rare,RARE MYSTERY BOX
HomeScreen_RatePopup_Heading,Rate the Game
HomeScreen_RatePopup_Caption,Take a moment to rate this game 
HomeScreen_RatePopup_Feedback_Heading,THANK YOU
HomeScreen_RatePopup_Feedback_Caption,We appreciate your feedback
HomeScreen_RatePopup_Feedback_OKButtonText,OK
HomeScreen_NewCarSpottedText,New Car Spotted
HomeScreen_NewCarSpotted_GarageButtonText,GARAGE
HomeScreen_AdNotAvailablePopUp_Heading,Sorry!
HomeScreen_AdNotAvailablePopUp_Description,No Network Access
HomeScreen_AdNotAvailablePopUp_ButtonText,OK
HomeScreen_Tutorial_GearButtonText,GEAR
LoadingScreen_Text,LOADING
Settings_Menu_Heading,SETTINGS
Settings_music,MUSIC
Settings_sfx,SFX
Settings_reminders,REMINDERS
Settings_privaacy,PRIVACY##POLICY
Settings_ads,ADS##PRIVACY
Settings_tos,TOS
Settings_privacy,PRIVACY
SettingButton_on,ON
SettingButton_off,OFF
ShopMenu_HeadingText,SHOP
ShopMenu_TabTextBoost,BOOSTS
ShopBoosts_HeadStartInfo,Activate at begining of a run to get a headstart 
ShopBoosts_HeadstartText,HEADSTART
ShopBoosts_HeadStartQuantityText,You have:
ShopBoosts_NotEnoughCurrency,Sorry!##You Dont Have enough currency.
ShopBoosts_NotEnoughCurrencyOkButton,OK
ShopMystery_Heading,MYSTERY BOX
ShopMystery_ViewPricesButtonText,VIEW PRIZES
ShopMystery_GetExcitingPricesCaptionText,Get Exciting Prizes immediately 
ShopMystery_MysteryBoxRareText,RARE
ShopMystery_MysteryBoxEpicText,EPIC
ShopMystery_MysteryBoxCommonText,COMMON
ShopBundle_HeadingText,BUNDLES
ShopBundle_MostPopularTagText,Most Popular!
ShopBundle_CashDoublerText,CASH DOUBLER
ShopBundle_RestorePurchaseText,Restore Purchases
Shopbundle_NotEnoughCurrencyPopUpHeading,Sorry!
Shopbundle_NotEnoughCurrencyPopUpCaption,You Dont Have enough currency.
Shopbundle_NotEnoughCurrencyPopUpOkButtonText,OK
ShopMenu_PurcahseProcessingText,Processing...
Shopbundle_Success_Heading,SUCCESS
Shopbundle_Success_Description,Congratulations!##Your purchase was successful
